"Name","FQCN","CountFQCN","CountSimple","InTarget","InTests","InResources","InNonJava","FilesFQCN","FilesSimple","Status","OwnFile"
"AtendimentoService","br.com.tonypool.atendimento.service.AtendimentoService","7","19","C:\workspace\microsservico-atendimento\atendimento-service\target\atendimentos-service-1.0.jar;C:\workspace\microsservico-atendimento\atendimento-service\target\atendimentos-service-1.0.jar.original;C:\workspace\microsservico-atendimento\atendimento-service\target\classes\br\com\tonypool\atendimento\service\AtendimentoService.class;C:\workspace\microsservico-atendimento\atendimento-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\atendimento-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst;C:\workspace\microsservico-atendimento\atendimento-service\target\test-classes\br\com\tonypool\atendimento\controller\AtendimentoControllerTest.class;C:\workspace\microsservico-atendimento\atendimento-service\target\test-classes\br\com\tonypool\atendimento\service\AtendimentoServiceTest.class","C:\workspace\microsservico-atendimento\atendimento-service\src\test\java\br\com\tonypool\atendimento\controller\AtendimentoControllerTest.java;C:\workspace\microsservico-atendimento\atendimento-service\src\test\java\br\com\tonypool\atendimento\service\AtendimentoServiceTest.java","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\atendimento-service\src\test\java\br\com\tonypool\atendimento\controller\AtendimentoControllerTest.java;C:\workspace\microsservico-atendimento\atendimento-service\src\test\java\br\com\tonypool\atendimento\service\AtendimentoServiceTest.java;C:\workspace\microsservico-atendimento\atendimento-service\target\atendimentos-service-1.0.jar;C:\workspace\microsservico-atendimento\atendimento-service\target\atendimentos-service-1.0.jar.original;C:\workspace\microsservico-atendimento\atendimento-service\target\classes\br\com\tonypool\atendimento\service\AtendimentoService.class;C:\workspace\microsservico-atendimento\atendimento-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\atendimento-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst;C:\workspace\microsservico-atendimento\atendimento-service\target\test-classes\br\com\tonypool\atendimento\controller\AtendimentoControllerTest.class;C:\workspace\microsservico-atendimento\atendimento-service\target\test-classes\br\com\tonypool\atendimento\service\AtendimentoServiceTest.class","C:\workspace\microsservico-atendimento\atendimento-service\src\test\java\br\com\tonypool\atendimento\controller\AtendimentoControllerTest.java;C:\workspace\microsservico-atendimento\atendimento-service\target\surefire-reports\br.com.tonypool.atendimento.service.AtendimentoServiceTest.txt;C:\workspace\microsservico-atendimento\atendimento-service\target\surefire-reports\TEST-br.com.tonypool.atendimento.service.AtendimentoServiceTest.xml","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\atendimento-service\src\test\java\br\com\tonypool\atendimento\controller\AtendimentoControllerTest.java;C:\workspace\microsservico-atendimento\atendimento-service\src\test\java\br\com\tonypool\atendimento\service\AtendimentoServiceTest.java;C:\workspace\microsservico-atendimento\atendimento-service\target\atendimentos-service-1.0.jar;C:\workspace\microsservico-atendimento\atendimento-service\target\atendimentos-service-1.0.jar.original;C:\workspace\microsservico-atendimento\atendimento-service\target\classes\br\com\tonypool\atendimento\service\AtendimentoService.class;C:\workspace\microsservico-atendimento\atendimento-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\atendimento-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst;C:\workspace\microsservico-atendimento\atendimento-service\target\test-classes\br\com\tonypool\atendimento\controller\AtendimentoControllerTest.class;C:\workspace\microsservico-atendimento\atendimento-service\target\test-classes\br\com\tonypool\atendimento\service\AtendimentoServiceTest.class","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\atendimento-service\src\main\java\br\com\tonypool\atendimento\service\AtendimentoService.java"
"ClienteAdminUpdater","br.com.tonypool.auth.helpers.ClienteAdminUpdater","0","11","C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\helpers\ClienteAdminUpdater.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\helpers\ClienteAdminUpdater.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\helpers\ClienteAdminUpdater.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\auth-service\src\main\java\br\com\tonypool\auth\helpers\ClienteAdminUpdater.java"
"ClienteConsultaService","br.com.tonypool.cliente.service.ClienteConsultaService","0","11","C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\service\ClienteConsultaService.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\service\ClienteConsultaService.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\service\ClienteConsultaService.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\cliente-service\src\main\java\br\com\tonypool\cliente\service\ClienteConsultaService.java"
"CriarContaController","br.com.tonypool.auth.controller.CriarContaController","0","11","C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\controller\CriarContaController.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\controller\CriarContaController.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\controller\CriarContaController.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\auth-service\src\main\java\br\com\tonypool\auth\controller\CriarContaController.java"
"EnderecoConsumer","br.com.tonypool.cliente.service.EnderecoConsumer","0","10","C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\service\EnderecoConsumer.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\service\EnderecoConsumer.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\service\EnderecoConsumer.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\cliente-service\src\main\java\br\com\tonypool\cliente\service\EnderecoConsumer.java"
"EnderecoController","br.com.tonypool.cliente.controller.EnderecoController","0","8","C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\controller\EnderecoController.class","","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\controller\EnderecoController.class","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\controller\EnderecoController.class","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\cliente-service\src\main\java\br\com\tonypool\cliente\controller\EnderecoController.java"
"FeignClientAuthInterceptor","br.com.tonypool.cliente.config.FeignClientAuthInterceptor","0","10","C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\config\FeignClientAuthInterceptor.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\config\FeignClientAuthInterceptor.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\config\FeignClientAuthInterceptor.class;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\cliente-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\cliente-service\src\main\java\br\com\tonypool\cliente\config\FeignClientAuthInterceptor.java"
"KafkaConsumerConfig","br.com.tonypool.cliente.config.KafkaConsumerConfig","0","8","C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\config\KafkaConsumerConfig.class","","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\config\KafkaConsumerConfig.class","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar;C:\workspace\microsservico-atendimento\cliente-service\target\cliente-service-1.0.jar.original;C:\workspace\microsservico-atendimento\cliente-service\target\classes\br\com\tonypool\cliente\config\KafkaConsumerConfig.class","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\cliente-service\src\main\java\br\com\tonypool\cliente\config\KafkaConsumerConfig.java"
"MailConfig","br.com.tonypool.auth.config.MailConfig","0","10","C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\config\MailConfig.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\config\MailConfig.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\config\MailConfig.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\auth-service\src\main\java\br\com\tonypool\auth\config\MailConfig.java"
"PerfilSeeder","br.com.tonypool.auth.helpers.PerfilSeeder","0","11","C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\helpers\PerfilSeeder.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\helpers\PerfilSeeder.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","","C:\workspace\microsservico-atendimento\.gitignored_files_list;C:\workspace\microsservico-atendimento\unused_classes.csv;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar;C:\workspace\microsservico-atendimento\auth-service\target\auth-service-1.0.jar.original;C:\workspace\microsservico-atendimento\auth-service\target\classes\br\com\tonypool\auth\helpers\PerfilSeeder.class;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\createdFiles.lst;C:\workspace\microsservico-atendimento\auth-service\target\maven-status\maven-compiler-plugin\compile\default-compile\inputFiles.lst","POSSIBLE_USE_VIA_FRAMEWORK_OR_TESTS","C:\workspace\microsservico-atendimento\auth-service\src\main\java\br\com\tonypool\auth\helpers\PerfilSeeder.java"
